name,name_aon,level,url_search,url_aon,match
Refocus,Arcane School Spell,4,https://2e.aonprd.com/Search.aspx?query=Refocus,https://2e.aonprd.com/Feats.aspx?ID=743,False
Call on Ancient Blood,Call of the Wild,2,https://2e.aonprd.com/Search.aspx?query=Call on Ancient Blood,https://2e.aonprd.com/Feats.aspx?ID=317,False
Dwarven Lore,Dwarven Lore,1,https://2e.aonprd.com/Search.aspx?query=Dwarven Lore,https://2e.aonprd.com/Feats.aspx?ID=1,True
Dwarven Weapon Familiarity,Dwarven Weapon Familiarity,1,https://2e.aonprd.com/Search.aspx?query=Dwarven Weapon Familiarity,https://2e.aonprd.com/Feats.aspx?ID=2,True
Rock Runner,Rock Runner,1,https://2e.aonprd.com/Search.aspx?query=Rock Runner,https://2e.aonprd.com/Feats.aspx?ID=3,True
Stonecunning,Stonecunning,1,https://2e.aonprd.com/Search.aspx?query=Stonecunning,https://2e.aonprd.com/Feats.aspx?ID=4,True
Unburdened Iron,Unburdened Iron,1,https://2e.aonprd.com/Search.aspx?query=Unburdened Iron,https://2e.aonprd.com/Feats.aspx?ID=5,True
Vengeful Hatred,Vengeful Hatred,1,https://2e.aonprd.com/Search.aspx?query=Vengeful Hatred,https://2e.aonprd.com/Feats.aspx?ID=6,True
Boulder Roll,Boulder Roll,5,https://2e.aonprd.com/Search.aspx?query=Boulder Roll,https://2e.aonprd.com/Feats.aspx?ID=7,True
Dwarven Weapon Cunning,Dwarven Weapon Cunning,5,https://2e.aonprd.com/Search.aspx?query=Dwarven Weapon Cunning,https://2e.aonprd.com/Feats.aspx?ID=8,True
Mountain's Stoutness,Mountain's Stoutness,9,https://2e.aonprd.com/Search.aspx?query=Mountain's Stoutness,https://2e.aonprd.com/Feats.aspx?ID=9,True
Stonewalker,Stonewalker,9,https://2e.aonprd.com/Search.aspx?query=Stonewalker,https://2e.aonprd.com/Feats.aspx?ID=10,True
Dwarven Weapon Expertise,Dwarven Weapon Expertise,13,https://2e.aonprd.com/Search.aspx?query=Dwarven Weapon Expertise,https://2e.aonprd.com/Feats.aspx?ID=11,True
Ancestral Longevity,Ancestral Longevity,1,https://2e.aonprd.com/Search.aspx?query=Ancestral Longevity,https://2e.aonprd.com/Feats.aspx?ID=12,True
Elven Lore,Elven Lore,1,https://2e.aonprd.com/Search.aspx?query=Elven Lore,https://2e.aonprd.com/Feats.aspx?ID=13,True
Elven Weapon Familiarity,Elven Weapon Familiarity,1,https://2e.aonprd.com/Search.aspx?query=Elven Weapon Familiarity,https://2e.aonprd.com/Feats.aspx?ID=14,True
Forlorn,Forlorn,1,https://2e.aonprd.com/Search.aspx?query=Forlorn,https://2e.aonprd.com/Feats.aspx?ID=15,True
Nimble Elf,Nimble Elf,1,https://2e.aonprd.com/Search.aspx?query=Nimble Elf,https://2e.aonprd.com/Feats.aspx?ID=16,True
Otherworldly Magic,Otherworldly Magic,1,https://2e.aonprd.com/Search.aspx?query=Otherworldly Magic,https://2e.aonprd.com/Feats.aspx?ID=17,True
Unwavering Mien,Unwavering Mien,1,https://2e.aonprd.com/Search.aspx?query=Unwavering Mien,https://2e.aonprd.com/Feats.aspx?ID=18,True
Ageless Patience,Ageless Patience,5,https://2e.aonprd.com/Search.aspx?query=Ageless Patience,https://2e.aonprd.com/Feats.aspx?ID=19,True
Elven Weapon Elegance,Elven Weapon Elegance,5,https://2e.aonprd.com/Search.aspx?query=Elven Weapon Elegance,https://2e.aonprd.com/Feats.aspx?ID=20,True
Elf Step,Elf Step,9,https://2e.aonprd.com/Search.aspx?query=Elf Step,https://2e.aonprd.com/Feats.aspx?ID=21,True
Expert Longevity,Expert Longevity,9,https://2e.aonprd.com/Search.aspx?query=Expert Longevity,https://2e.aonprd.com/Feats.aspx?ID=22,True
Universal Longevity,Universal Longevity,13,https://2e.aonprd.com/Search.aspx?query=Universal Longevity,https://2e.aonprd.com/Feats.aspx?ID=23,True
Elven Weapon Expertise,Elven Weapon Expertise,13,https://2e.aonprd.com/Search.aspx?query=Elven Weapon Expertise,https://2e.aonprd.com/Feats.aspx?ID=24,True
Animal Accomplice,Animal Accomplice,1,https://2e.aonprd.com/Search.aspx?query=Animal Accomplice,https://2e.aonprd.com/Feats.aspx?ID=25,True
Burrow Elocutionist,Burrow Elocutionist,1,https://2e.aonprd.com/Search.aspx?query=Burrow Elocutionist,https://2e.aonprd.com/Feats.aspx?ID=26,True
Fey Fellowship,Fey Fellowship,1,https://2e.aonprd.com/Search.aspx?query=Fey Fellowship,https://2e.aonprd.com/Feats.aspx?ID=27,True
First World Magic,First World Magic,1,https://2e.aonprd.com/Search.aspx?query=First World Magic,https://2e.aonprd.com/Feats.aspx?ID=28,True
Gnome Obsession,Gnome Obsession,1,https://2e.aonprd.com/Search.aspx?query=Gnome Obsession,https://2e.aonprd.com/Feats.aspx?ID=29,True
Gnome Weapon Familiarity,Gnome Weapon Familiarity,1,https://2e.aonprd.com/Search.aspx?query=Gnome Weapon Familiarity,https://2e.aonprd.com/Feats.aspx?ID=30,True
Illusion Sense,Illusion Sense,1,https://2e.aonprd.com/Search.aspx?query=Illusion Sense,https://2e.aonprd.com/Feats.aspx?ID=31,True
Animal Elocutionist,Animal Elocutionist,5,https://2e.aonprd.com/Search.aspx?query=Animal Elocutionist,https://2e.aonprd.com/Feats.aspx?ID=32,True
Energized Font,Energized Font,5,https://2e.aonprd.com/Search.aspx?query=Energized Font,https://2e.aonprd.com/Feats.aspx?ID=33,True
Gnome Weapon Innovator,Gnome Weapon Innovator,5,https://2e.aonprd.com/Search.aspx?query=Gnome Weapon Innovator,https://2e.aonprd.com/Feats.aspx?ID=34,True
First World Adept,First World Adept,9,https://2e.aonprd.com/Search.aspx?query=First World Adept,https://2e.aonprd.com/Feats.aspx?ID=35,True
Vivacious Conduit,Vivacious Conduit,9,https://2e.aonprd.com/Search.aspx?query=Vivacious Conduit,https://2e.aonprd.com/Feats.aspx?ID=36,True
Gnome Weapon Expertise,Gnome Weapon Expertise,13,https://2e.aonprd.com/Search.aspx?query=Gnome Weapon Expertise,https://2e.aonprd.com/Feats.aspx?ID=37,True
Burn It!,,-1,https://2e.aonprd.com/Search.aspx?query=Burn It!,https://2e.aonprd.com/Search.aspx?query=Burn+It!,False
