,Name,Level,Price,Bulk,description
0,Holly and Mistletoe,0,,,"Plants of supernatural significance provide a primal focus for primal spellcasters, such as druids, when using certain abilities and casting some spells. A bundle of holly and mistletoe must be held in one hand to use it. Other primal foci exist for druids focused on other aspects of nature."
1,Bedroll,0,1 cp,L,
2,Candle,0,1 cp,,A lit candle sheds dim light in a 10-foot radius.
3,Chalk,0,1 cp,,
4,Mug,0,1 cp,,
5,Oil,0,1 cp,,"You can use oil to fuel lanterns, but you can also set a pint of oil aflame and throw it. You must first spend an Interact action preparing the oil, then throw it with another action as a ranged attack. If you hit, it splatters on the creature or in a single 5-foot square you target. You must succeed at a DC 10 flat check for the oil to ignite successfully when it hits. If the oil ignites, the target takes 1d6 fire damage."
6,Piton,0,1 cp,,"These small spikes can be used as anchors to make climbing easier. To affix a piton, you must hold it in one hand and use a hammer to drive it in with your other hand. You can attach a rope to the hammered piton so that you don’t fall all the way to the ground on a critical failure while Climbing."
7,Sack,0,1 cp,L,"A sack can hold up to 8 Bulk worth of items. A sack containing 2 Bulk or less can be worn on the body, usually tucked into a belt. You can carry a sack with one hand, but must use two hands to transfer items in and out."
8,Sheath,0,1 cp,,A sheath or scabbard lets you easily carry a weapon on your person.
9,Ten-Foot Pole,0,1 cp,1,"When wielding this long pole, you can use Seek to search a square up to 10 feet away. The pole is not sturdy enough to use as a weapon."
10,Torch,0,1 cp,L,A torch sheds bright light in a 20-foot radius (and dim light to the next 20 feet). It can be used as an improvised weapon that deals 1d4 bludgeoning damage plus 1 fire damage.
11,Soap,0,2 cp,,
12,Ladder,0,3 cp,3,
13,Belt Pouch,0,4 cp,,A belt pouch holds up to four items of light�Bulk.
14,Flint and Steel,0,5 cp,,"Flint and steel are useful in creating a fire if you have the time to catch a spark, though using them is typically too time-consuming to be practical during an encounter. Even in ideal conditions, using flint and steel to light a flame requires using at least 3 actions, and often significantly longer."
15,Vial,0,5 cp,,A simple glass vial holds up to 1 ounce of liquid.
16,Waterskin,0,5 cp,L,"When it's full, a waterskin has 1 Bulk and contains roughly 1 day's worth of water for a Small or Medium creature."
17,Signal Whistle,0,8 cp,,"When sounded, a signal whistle can be heard clearly up to half a mile away across open terrain."
18,Backpack,0,1 sp,,"A backpack holds up to 4 Bulk of items. If you're carrying or stowing the pack rather than wearing it on your back, its bulk is light instead of negligible."
19,Bandolier,0,1 sp,,"A bandolier holds up to eight items of light Bulk within easy reach and is usually used for alchemical items or potions. If you are carrying or stowing a bandolier rather than wearing it around your chest, it has light Bulk instead of negligible. A bandolier can be dedicated to a full set of tools, such as healer's tools, allowing you to draw the tools as part of the action that requires them."
20,Basic Crafter's Book,0,1 sp,L,This book contains the formulas (page 293) for Crafting the common items in this chapter.
21,Clothing (Explorer's),0,1 sp,L,
22,Clothing (Oridinary),0,1 sp,,
23,Disguise Kit (Replacement Cosmetics),0,1 sp,,
24,Grappling Hook,0,1 sp,L,"You can throw a grappling hook with a rope tied to it to make a climb easier. To anchor a grappling hook, make an attack roll with the secret trait against a DC depending on the target, typically at least DC 20. On a success, your hook has a firm hold, but on a critical failure, the hook seems like it will hold but actually falls when you're partway up."
25,Hammer,0,1 sp,L,
26,Religious Symbol (Wooden),0,1 sp,L,
27,Satchel,0,1 sp,,"A satchel can hold up to 2 Bulk worth of items. If you are carrying or stowing a satchel rather than wearing it over your shoulder, it counts as light Bulk instead of negligible."
28,Scroll Case,0,1 sp,,"Scrolls, maps, and other rolled documents are stored in scroll cases for safe transport."
29,Writing Set (Extra Ink and Paper),0,1 sp,,
30,Lock (Poor),0,2 sp,,
31,Merchant's Scale,0,2 sp,L,
32,Saddlebags,0,2 sp,,"Saddlebags come in a pair. Each can hold up to 3 Bulk of items. The Bulk value given is for saddlebags worn by a mount. If you are carrying or stowing saddlebags, they count as 1 Bulk instead of light Bulk."
