weapon_m_id,name,category,price_gp,dice_size,damage_type,bulk,hands,group,traits,sources_id,sources_pg,description
0,Fist,Unarmed,0,4,B,0,1,Brawling,"Agile, Finesse, Nonlethal, Unarmed",1,280,Nethys Note: no description was provided for this item
1,Clan Dagger,Simple,2,4,P,0.1,1,Knife,"Agile, Dwarf, Parry, Uncommon, Versatile B",1,280,"This broad dagger is carried by dwarves as a weapon, tool, and designation of clan. Losing or having to surrender a clan dagger is considered a mark of embarrassment to most dwarves."
2,Club,Simple,0,6,B,1,1,Club,Thrown 10 ft.,1,280,This is a piece of stout wood shaped or repurposed to bludgeon an enemy. Clubs can be intricately carved pieces of martial art or as simple as a tree branch or piece of wood.
3,Dagger,Simple,0.2,4,P,0.1,1,Knife,"Agile, Finesse, Thrown 10 ft., Versatile S",1,280,"This small, bladed weapon is held in one hand and used to stab a creature in close combat. It can also be thrown."
4,Gauntlet,Simple,0.2,4,B,0.1,1,Brawling,"Agile, Free-Hand",1,280,"A pair of these metal gloves comes with full plate, half plate, and splint armor; they can also be purchased separately and worn with other types of armor. They not only protect your hands but also transform your hands into lethal weapons."
5,Katar,Simple,0.3,4,P,0.1,1,Knife,"Agile, Deadly d6, Monk, Uncommon",1,280,"Also known as punching daggers, katars are characterized by their H-shaped hand grip that allows the blade to jut out from the knuckles."
6,Light Mace,Simple,0.4,4,B,0.1,1,Club,"Agile, Finesse, Shove",1,280,"A light mace has a short wooden or metal shaft ending with a dense metal head. Used much like a club, it delivers heavy bludgeoning blows, but with extra power derived from the head’s metal ridges or spikes."
7,Longspear,Simple,0.5,8,P,2,2,Spear,Reach,1,280,"This very long spear, sometimes called a pike, is purely for thrusting rather than throwing. Used by many soldiers and city watch for crowd control and defense against charging enemies, it must be wielded with two hands."
8,Mace,Simple,1,6,B,1,1,Club,Shove,1,280,"With a stout haft and a heavy metal head, a mace is sturdy and allows its wielder to deliver powerful blows and dent armor."
9,Morningstar,Simple,1,6,B,1,1,Club,Versatile P,1,280,This weapon has a short shaft ending in a metal ball studded with spikes.
10,Sickle,Simple,0.2,4,S,0.1,1,Knife,"Agile, Finesse, Trip",1,280,"Originally a farming tool used for reaping grain, this one-handed weapon has a short wooden handle ending in a curved blade, sometimes sharpened on both sides."
11,Spear,Simple,0.1,6,P,1,1,Spear,Thrown 20 ft.,1,280,"A long metal shaft ending with a metal spike, a spear can be used one-handed as a melee weapon and can be thrown."
12,Spiked Gauntlet,Simple,0.3,4,P,0.1,1,Brawling,"Agile, Free-Hand",1,280,"Providing the same defensive function as a standard gauntlet, this version has a group of spikes protruding from the knuckles to deliver piercing damage with a punch."
13,Staff,Simple,0,4,B,1,1,Club,Two-Hand d8,1,280,This long piece of wood can aid in walking and deliver a mighty blow.
14,Bastard Sword,Martial,4,8,S,1,1,Sword,Two-Hand d12,1,280,"This broad-bladed sword, sometimes called the hand‑and‑a‑half sword, has a longer grip so it can be held in one hand or used with two hands to provide extra piercing or slashing power."
15,Battle Axe,Martial,0.1,8,S,1,1,Axe,Sweep,1,280,"These axes are designed explicitly as weapons, rather than tools. They typically weigh less, with a shaft reinforced with metal bands or bolts, and have a sharper blade, making them ideal for chopping limbs rather than wood."
16,Bo Staff,Martial,0.2,8,B,2,2,Club,"Monk, Parry, Reach, Trip",1,280,This strong but slender staff is tapered at the ends and well balanced. It’s designed to be an offensive and defensive weapon.
17,Dogslicer,Martial,0.1,6,S,0.1,1,Sword,"Agile, Backstabber, Finesse, Goblin, Uncommon",1,280,"This short, curved, and crude makeshift blade often has holes drilled into it to reduce its weight. It’s a favored weapon of goblins."
18,Elven Curve Blade,Martial,4,8,S,2,2,Sword,"Elf, Finesse, Forceful",1,281,"Essentially a longer version of the scimitar, this traditional elven weapon has a thinner blade than its cousin."
19,Falchion,Martial,3,10,S,2,2,Sword,"Forceful, Sweep",1,280,"This weapon is a heavier, two-handed version of the curved-bladed scimitar. It is weighted toward the blade’s end, making it a powerful slashing weapon."
20,Filcher's Fork,Martial,1,4,P,0.1,1,Spear,"Agile, Backstabber, Deadly d6, Finesse, Halfling, Thrown 20 ft., Uncommon",1,281,"This halfling weapon looks like a long, two-pronged fork and is used as both a weapon and a cooking implement."
21,Flail,Martial,1,6,B,1,1,Flail,"Disarm, Sweep, Trip",1,280,"This weapon consists of a wooden handle attached to a spiked ball or cylinder by a chain, rope, or strap of leather."
